Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1979","1979","tonnes","31091","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1980","1980","tonnes","39711","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1981","1981","tonnes","19420","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1982","1982","tonnes","9440","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1983","1983","tonnes","8674","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1984","1984","tonnes","9918","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1985","1985","tonnes","10905","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1986","1986","tonnes","11141","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1987","1987","tonnes","27378","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1988","1988","tonnes","26859","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1989","1989","tonnes","27068","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1990","1990","tonnes","28619","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1991","1991","tonnes","30917","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1992","1992","tonnes","39134","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1993","1993","tonnes","52106","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1994","1994","tonnes","59193","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1995","1995","tonnes","74925","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1996","1996","tonnes","76631","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1997","1997","tonnes","87493","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1998","1998","tonnes","110775","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","1999","1999","tonnes","119000","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2000","2000","tonnes","124690","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2001","2001","tonnes","137258","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2002","2002","tonnes","140206","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2003","2003","tonnes","150640","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2004","2004","tonnes","172440","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2005","2005","tonnes","175047","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2006","2006","tonnes","160129","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2007","2007","tonnes","169093","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2008","2008","tonnes","150387","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2009","2009","tonnes","143685","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2010","2010","tonnes","105317","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2011","2011","tonnes","106292","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2012","2012","tonnes","108014","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2013","2013","tonnes","99019","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2014","2014","tonnes","44675","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2015","2015","tonnes","37733","","Official data"
"QC","Crops","194","Saudi Arabia","5510","Production","512","Fruit, citrus nes","2016","2016","tonnes","41263","","Official data"
